,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G PK,G+A PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Matches
35,36,Ashley Barnes,AUT,FW,Burnley,29,1989,19,17,1352,6,0,1,1,4,0,0,0,0,0.33,0.33,5.4,4.6,0.5,0.36,0.03,0.39,0.31,0.34,Matches
36,37,Harvey Barnes,ENG,MF,Leicester City,21,1997,27,20,1709,6,6,0,0,0,0,0,0,0,0.32,0.63,6.9,6.9,2.4,0.36,0.13,0.49,0.36,0.49,Matches
37,38,Chris Basham,ENG,DF,Sheffield Utd,31,1988,28,28,2432,0,0,0,0,4,0,0,0,0,0,0,0.6,0.6,0.7,0.02,0.03,0.05,0.02,0.05,Matches
38,39,Borja Baston,ESP,MFFW,Aston Villa,26,1992,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,40,Michy Batshuayi,BEL,FW,Chelsea,25,1993,16,1,239,1,1,0,0,0,0,0,0,0,0.38,0.75,2.2,2.2,0.2,0.82,0.06,0.88,0.82,0.88,Matches
40,41,Jan Bednarek,POL,DF,Southampton,23,1996,27,27,2427,1,0,0,0,3,0,0,0,0,0.04,0.04,0.8,0.8,0.1,0.03,0,0.03,0.03,0.03,Matches
41,42,Hector Bellerin,ESP,DF,Arsenal,24,1995,8,7,624,1,0,0,0,2,0,0,0,0,0.14,0.14,0.2,0.2,0.1,0.03,0.01,0.04,0.03,0.04,Matches
42,43,Ryan Bennett,ENG,DF,Wolves,29,1990,11,7,606,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0,0.02,0.02,0,0.02,Matches
43,44,Nabil Bentaleb,ALG,MF,Newcastle Utd,24,1994,3,3,270,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.01,0.05,0.06,0.01,0.06,Matches
44,45,Christian Benteke,BEL,FW,Crystal Palace,28,1990,20,9,926,1,1,0,0,4,0,0,0,0,0.1,0.19,3.4,3.4,2.2,0.33,0.21,0.55,0.33,0.55,Matches
45,46,Johann Berg Gudmundsson,ISL,MF,Burnley,28,1990,7,4,400,1,0,0,0,0,0,0,0,0,0.23,0.23,0.6,0.6,0.5,0.13,0.11,0.24,0.13,0.24,Matches
46,47,Sander Berge,NOR,MF,Sheffield Utd,21,1998,4,3,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
47,48,Steven Bergwijn,NED,FWMF,Tottenham,21,1997,5,5,415,2,0,0,0,1,0,0,0,0,0.43,0.43,1,1,0.6,0.23,0.12,0.35,0.23,0.35,Matches
48,49,Bernard,BRA,MFFW,Everton,26,1992,19,13,1021,3,2,0,0,2,0,0,0,0,0.26,0.44,1,1,1.5,0.08,0.13,0.22,0.08,0.22,Matches
49,50,Bernardo,BRA,DF,Brighton,24,1995,10,6,542,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.2,0.05,0.03,0.08,0.05,0.08,Matches
50,51,Ryan Bertrand,ENG,DF,Southampton,29,1989,24,23,2022,1,1,0,0,3,1,0,0,0,0.04,0.09,1.8,1.8,3.1,0.08,0.14,0.22,0.08,0.22,Matches
51,52,Muhamed Besic,BIH,MF,Sheffield Utd,26,1992,9,2,250,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.05,0.03,0.08,0.05,0.08,Matches
52,53,Philip Billing,DEN,MF,Bournemouth,23,1996,27,25,2164,1,1,0,0,7,0,0,0,0,0.04,0.08,2,2,1.3,0.08,0.05,0.14,0.08,0.14,Matches
53,54,Yves Bissouma,MLI,MF,Brighton,22,1996,13,8,668,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.03,0.01,0.04,0.03,0.04,Matches
54,55,Willy Boly,FRA,DF,Wolves,28,1991,13,13,1169,0,1,0,0,3,1,0,0,0,0,0.08,0,0,0.3,0,0.03,0.03,0,0.03,Matches
55,56,Gaetan Bong,CMR,MFDF,Brighton,31,1988,4,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0.2,0,0.2,Matches
56,57,Sofiane Boufal,MAR,MFFW,Southampton,25,1993,19,8,762,0,2,0,0,2,0,0,0,0,0,0.24,1,1,2.6,0.11,0.31,0.42,0.11,0.42,Matches
57,58,Jarrod Bowen,ENG,FWMF,West Ham,22,1996,4,2,184,1,0,0,0,0,0,0,0,0,0.49,0.49,0.7,0.7,0.4,0.33,0.21,0.53,0.33,0.53,Matches
58,59,Robbie Brady,IRL,MF,Burnley,27,1992,14,5,401,1,2,0,0,1,0,0,0,0,0.22,0.67,0.9,0.9,0.2,0.21,0.04,0.25,0.21,0.25,Matches
59,60,Claudio Bravo,CHI,GK,Manchester City,36,1983,4,3,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
60,61,Armando Broja,ALB,FW,Chelsea,17,2001,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
61,62,Josh Brownhill,ENG,MF,Burnley,23,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
62,63,Emi Buendia,ARG,FWMF,Norwich City,22,1996,28,22,2017,0,7,0,0,4,0,0,0,0,0,0.31,2,2,6.9,0.09,0.31,0.4,0.09,0.4,Matches
63,64,Dan Burn,ENG,DF,Brighton,27,1992,25,25,2147,0,0,0,0,4,0,0,0,0,0,0,0.7,0.7,1.1,0.03,0.04,0.08,0.03,0.08,Matches
64,65,Sam Byram,ENG,DF,Norwich City,25,1993,17,15,1293,0,0,0,0,4,0,0,0,0,0,0,1.3,1.3,0.5,0.09,0.04,0.12,0.09,0.12,Matches
65,66,Willy Caballero,ARG,GK,Chelsea,37,1981,4,4,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,67,Gary Cahill,ENG,DF,Crystal Palace,33,1985,20,20,1800,0,1,0,0,1,0,0,0,0,0,0.05,0.9,0.9,0.3,0.05,0.01,0.06,0.05,0.06,Matches
67,68,Dominic Calvert Lewin,ENG,FW,Everton,22,1997,27,22,1909,13,1,0,0,7,0,0,0,0,0.61,0.66,12.3,12.3,0.9,0.58,0.04,0.63,0.58,0.63,Matches
68,69,Victor Camarasa,ESP,MF,Crystal Palace,25,1994,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
69,70,Joao Cancelo,POR,DF,Manchester City,25,1994,11,8,785,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,1.1,0.02,0.12,0.15,0.02,0.15,Matches
70,71,Todd Cantwell,ENG,FW,Norwich City,21,1998,29,25,2070,6,2,0,0,4,0,0,0,0,0.26,0.35,5.7,5.7,2.6,0.25,0.11,0.36,0.25,0.36,Matches
71,72,Etienne Capoue,FRA,MF,Watford,31,1988,24,24,2138,0,2,0,0,7,0,0,0,0,0,0.08,0.8,0.8,1.8,0.03,0.08,0.11,0.03,0.11,Matches
72,73,Andy Carroll,ENG,FW,Newcastle Utd,30,1989,13,4,516,0,3,0,0,1,0,0,0,0,0,0.52,0.5,0.5,1.6,0.08,0.27,0.35,0.08,0.35,Matches
73,74,Jonny Castro,ESP,DF,Wolves,25,1994,26,25,2194,1,1,0,0,4,0,0,0,0,0.04,0.08,1.1,1.1,0.8,0.04,0.03,0.08,0.04,0.08,Matches
74,75,Craig Cathcart,NIR,DF,Watford,30,1989,27,27,2353,0,0,0,0,6,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0.01,0,0.01,Matches
75,76,Dani Ceballos,ESP,MF,Arsenal,22,1996,14,10,908,0,2,0,0,0,0,0,0,0,0,0.2,0.4,0.4,0.9,0.04,0.09,0.13,0.04,0.13,Matches
76,77,Nathaniel Chalobah,ENG,MF,Watford,24,1994,15,9,776,0,1,0,0,1,0,0,0,0,0,0.12,0.3,0.3,0.7,0.04,0.08,0.12,0.04,0.12,Matches
77,78,Calum Chambers,ENG,DF,Arsenal,24,1995,14,13,1102,1,1,0,0,5,0,0,0,0,0.08,0.16,0.6,0.6,0.8,0.05,0.06,0.12,0.05,0.12,Matches
78,79,Ben Chilwell,ENG,DF,Leicester City,22,1996,23,23,2059,2,3,0,0,2,0,0,0,0,0.09,0.22,0.8,0.8,2.9,0.03,0.13,0.16,0.03,0.16,Matches
79,80,Tahith Chong,NED,FWMF,Manchester Utd,19,1999,3,0,37,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.15,0,0.15,0.15,0.15,Matches
80,81,Hamza Choudhury,ENG,MF,Leicester City,21,1997,16,9,784,1,1,0,0,4,1,0,0,0,0.11,0.23,0.5,0.5,0.1,0.06,0.01,0.07,0.06,0.07,Matches
81,82,Andreas Christensen,DEN,DF,Chelsea,23,1996,15,15,1256,0,0,0,0,5,0,0,0,0,0,0,0.5,0.5,0.5,0.04,0.04,0.07,0.04,0.07,Matches
82,83,Ciaran Clark,IRL,DF,Newcastle Utd,29,1989,14,14,1186,2,0,0,0,3,0,0,0,0,0.15,0.15,1.2,1.2,0,0.09,0,0.1,0.09,0.1,Matches
83,84,Leon Clarke,ENG,MF,Sheffield Utd,34,1985,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,2.62,0,2.62,2.62,2.62,Matches
84,85,Tom Cleverley,ENG,MF,Watford,29,1989,10,8,657,1,0,0,0,0,0,0,0,0,0.14,0.14,1.5,1.5,0.4,0.2,0.06,0.26,0.2,0.26,Matches
85,86,Conor Coady,ENG,DF,Wolves,26,1993,29,29,2610,0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,0,0.02,0.02,0,0.02,Matches
86,87,Seamus Coleman,IRL,DF,Everton,30,1988,18,14,1193,0,1,0,0,5,1,0,0,0,0,0.08,0.6,0.6,0.6,0.04,0.04,0.08,0.04,0.08,Matches
87,88,Aaron Connolly,IRL,FW,Brighton,19,2000,17,9,833,2,0,0,0,0,0,0,0,0,0.22,0.22,2.4,2.4,0.2,0.26,0.02,0.28,0.26,0.28,Matches
88,89,Lewis Cook,ENG,MF,Bournemouth,22,1997,20,11,1009,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.8,0.02,0.07,0.09,0.02,0.09,Matches
89,90,Steve Cook,ENG,DF,Bournemouth,28,1991,22,22,1848,1,0,0,0,4,1,0,0,0,0.05,0.05,0.7,0.7,0.3,0.03,0.01,0.05,0.03,0.05,Matches
90,91,Jack Cork,ENG,MF,Burnley,30,1989,27,27,2364,0,0,0,0,1,0,0,0,0,0,0,1.8,1.8,0.7,0.07,0.03,0.09,0.07,0.09,Matches
91,92,Aaron Cresswell,ENG,DF,West Ham,29,1989,23,23,2023,3,0,0,0,7,0,0,0,0,0.13,0.13,1.2,1.2,1.3,0.05,0.06,0.11,0.05,0.11,Matches
92,93,Patrick Cutrone,ITA,FW,Wolves,21,1998,12,3,297,2,0,0,0,0,0,0,0,0,0.61,0.61,2.3,2.3,0,0.7,0.01,0.72,0.7,0.72,Matches
93,94,Diogo Dalot,POR,DF,Manchester Utd,20,1999,4,1,67,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0,0.2,0.2,0.2,Matches
94,95,Charlie Daniels,ENG,DF,Bournemouth,32,1986,2,2,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0.05,0,0.05,Matches
95,96,Scott Dann,ENG,DF,Crystal Palace,32,1987,9,7,636,0,1,0,0,0,0,0,0,0,0,0.14,0.2,0.2,0.2,0.02,0.03,0.06,0.02,0.06,Matches
96,97,Kevin Danso,AUT,DF,Southampton,20,1998,6,3,277,0,1,0,0,2,1,0,0,0,0,0.32,0.1,0.1,0.2,0.03,0.06,0.09,0.03,0.09,Matches
97,98,Ben Davies,WAL,DF,Tottenham,26,1993,9,7,631,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0.4,0.02,0.06,0.08,0.02,0.08,Matches
98,99,Tom Davies,ENG,MF,Everton,21,1998,21,15,1371,1,0,0,0,7,0,0,0,0,0.07,0.07,1.7,1.7,0.3,0.11,0.02,0.13,0.11,0.13,Matches
99,100,Keinan Davis,ENG,FW,Aston Villa,21,1998,8,0,137,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.48,0.05,0.53,0.48,0.53,Matches
100,101,Craig Dawson,ENG,DF,Watford,29,1990,20,17,1551,0,0,0,0,4,0,0,0,0,0,0,0.8,0.8,0,0.05,0,0.05,0.05,0.05,Matches
101,102,Kevin De Bruyne,BEL,MF,Manchester City,28,1991,26,25,2147,8,17,0,0,2,0,0,0,1,0.34,1.05,4.9,4.9,13.4,0.21,0.56,0.77,0.21,0.77,Matches
102,103,Troy Deeney,ENG,FW,Watford,31,1988,18,17,1502,6,2,2,3,3,0,0,0,0,0.24,0.36,6.3,4.1,2.4,0.38,0.14,0.52,0.24,0.39,Matches
103,104,Fabian Delph,ENG,MF,Everton,29,1989,16,13,1190,0,0,0,0,5,1,0,0,0,0,0,0.1,0.1,0.3,0,0.03,0.03,0,0.03,Matches
104,105,Leander Dendoncker,BEL,DFMF,Wolves,24,1995,29,26,2281,2,0,0,0,4,0,0,0,0,0.08,0.08,1.4,1.4,0.6,0.05,0.02,0.08,0.05,0.08,Matches
105,106,Gerard Deulofeu,ESP,FW,Watford,25,1994,28,25,2098,4,5,1,1,3,0,0,0,0,0.13,0.34,5.3,4.5,4.6,0.23,0.2,0.42,0.19,0.39,Matches
106,107,Eric Dier,ENG,MFDF,Tottenham,25,1994,14,10,894,0,2,0,0,4,0,0,0,0,0,0.2,0.9,0.9,0.1,0.09,0.01,0.1,0.09,0.1,Matches
107,108,Lucas Digne,FRA,DF,Everton,26,1993,26,26,2241,0,5,0,0,2,0,0,0,0,0,0.2,1.1,1.1,4.6,0.04,0.18,0.23,0.04,0.23,Matches
108,109,Virgil van Dijk,NED,DF,Liverpool,28,1991,29,29,2610,4,1,0,0,1,0,0,0,0,0.14,0.17,2,2,1,0.07,0.03,0.1,0.07,0.1,Matches
109,110,Issa Diop,FRA,DF,West Ham,22,1997,23,22,1956,3,0,0,0,8,0,0,0,0,0.14,0.14,1.4,1.4,0.3,0.06,0.01,0.08,0.06,0.08,Matches
110,111,Moussa Djenepo,MLI,MFDF,Southampton,21,1998,18,10,928,2,2,0,0,4,1,0,0,0,0.19,0.39,2.4,2.4,1.4,0.23,0.14,0.37,0.23,0.37,Matches
