,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G PK,G+A PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Matches
405,406,David Silva,ESP,MF,Manchester City,33,1986,19,16,1255,3,7,0,0,0,0,0,0,0,0.22,0.72,4.1,4.1,3.4,0.29,0.24,0.54,0.29,0.54,Matches
406,407,Jack Simpson,ENG,DF,Bournemouth,22,1997,4,1,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
407,408,Moussa Sissoko,FRA,MF,Tottenham,29,1989,20,19,1689,2,1,0,0,6,0,0,0,0,0.11,0.16,2,2,1,0.11,0.05,0.16,0.11,0.16,Matches
408,409,Oliver Skipp,ENG,MFDF,Tottenham,18,2000,4,1,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
409,410,William Smallbone,IRL,MF,Southampton,19,2000,2,2,156,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.13,0,0.13,0.13,0.13,Matches
410,411,Adam Smith,ENG,DF,Bournemouth,28,1991,18,18,1557,0,1,0,0,6,0,0,0,0,0,0.06,0.6,0.6,0.6,0.03,0.04,0.07,0.03,0.07,Matches
411,412,Emile Smith Rowe,ENG,MF,Arsenal,19,2000,2,1,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
412,413,Robert Snodgrass,SCO,MFFW,West Ham,31,1987,24,17,1509,5,5,0,0,4,0,0,0,0,0.3,0.6,2.5,2.5,2.8,0.15,0.17,0.32,0.15,0.32,Matches
413,414,Cedric Soares,POR,DF,Southampton,27,1991,16,16,1306,0,1,0,0,1,0,0,0,0,0,0.07,0.6,0.6,1.2,0.04,0.09,0.13,0.04,0.13,Matches
414,415,Dominic Solanke,ENG,FWMF,Bournemouth,21,1997,24,12,1187,0,1,0,0,1,0,0,0,0,0,0.08,2.1,2.1,1,0.16,0.07,0.23,0.16,0.23,Matches
415,416,Tomas Soucek,CZE,MF,West Ham,24,1995,4,3,230,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.04,0,0.04,0.04,0.04,Matches
416,417,Caglar Soyuncu,TUR,DF,Leicester City,23,1996,28,28,2520,1,1,0,0,4,0,0,0,0,0.04,0.07,2.1,2.1,0.2,0.08,0.01,0.08,0.08,0.08,Matches
417,418,Dennis Srbeny,GER,MFFW,Norwich City,25,1994,8,0,47,1,0,0,0,0,0,1,0,1,1.91,1.91,0.5,0.5,0,0.89,0,0.89,0.89,0.89,Matches
418,419,Jack Stacey,ENG,DF,Bournemouth,23,1996,12,12,1066,0,2,0,0,2,0,0,0,0,0,0.17,0.3,0.3,2.1,0.03,0.18,0.21,0.03,0.21,Matches
419,420,Junior Stanislas,ENG,MFFW,Bournemouth,29,1989,6,2,224,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.09,0.03,0.13,0.09,0.13,Matches
420,421,Jed Steer,ENG,GK,Aston Villa,26,1992,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
421,422,Dale Stephens,ENG,MF,Brighton,30,1989,24,22,1942,0,1,0,0,6,0,0,0,0,0,0.05,0.5,0.5,0.7,0.02,0.03,0.06,0.02,0.06,Matches
422,423,Jack Stephens,ENG,DF,Southampton,25,1994,21,20,1827,1,3,0,0,2,0,0,0,0,0.05,0.2,0.8,0.8,0.8,0.04,0.04,0.08,0.04,0.08,Matches
423,424,Raheem Sterling,ENG,FW,Manchester City,24,1994,24,23,2017,11,1,0,1,5,0,0,0,0,0.49,0.54,11.2,10.2,5.8,0.5,0.26,0.76,0.46,0.72,Matches
424,425,Enda Stevens,IRL,DF,Sheffield Utd,29,1990,28,28,2445,2,2,0,0,5,0,0,0,0,0.07,0.15,0.9,0.9,3.5,0.03,0.13,0.16,0.03,0.16,Matches
425,426,Marco Stiepermann,GER,MF,Norwich City,28,1991,19,11,933,0,0,0,0,4,0,0,0,0,0,0,1.5,1.5,0.5,0.15,0.04,0.19,0.15,0.19,Matches
426,427,John Stones,ENG,DF,Manchester City,25,1994,12,10,906,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.06,0.01,0.07,0.06,0.07,Matches
427,428,Isaac Success,NGA,FWMF,Watford,23,1996,5,0,70,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.16,0.26,0.1,0.26,Matches
428,429,Ki Sung yueng,KOR,MF,Newcastle Utd,30,1989,3,1,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.05,0.05,0,0.05,Matches
429,430,Andrew Surman,ENG,MF,Bournemouth,32,1986,5,2,235,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
430,431,Sam Surridge,ENG,FW,Bournemouth,21,1998,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
431,432,Japhet Tanganga,ENG,DF,Tottenham,20,1999,6,6,525,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.01,0,0.01,0.01,0.01,Matches
432,433,Matt Targett,ENG,DF,Aston Villa,23,1995,20,20,1687,1,2,0,0,3,0,0,0,0,0.05,0.16,0.4,0.4,2.7,0.02,0.14,0.16,0.02,0.16,Matches
433,434,James Tarkowski,ENG,DF,Burnley,26,1992,29,29,2610,1,1,0,0,8,0,0,0,0,0.03,0.07,1.6,1.6,1.6,0.05,0.05,0.11,0.05,0.11,Matches
434,435,Charlie Taylor,ENG,DF,Burnley,25,1993,17,15,1376,0,0,0,0,3,0,0,0,0,0,0,0,0,0.9,0,0.06,0.06,0,0.06,Matches
435,436,Neil Taylor,WAL,DF,Aston Villa,30,1989,10,8,795,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.1,0.02,0.01,0.03,0.02,0.03,Matches
436,437,Alexander Tettey,NOR,MFDF,Norwich City,33,1986,23,21,1782,1,1,0,0,4,0,0,0,0,0.05,0.1,0.7,0.7,0.8,0.03,0.04,0.07,0.03,0.07,Matches
437,438,Youri Tielemans,BEL,MF,Leicester City,22,1997,28,24,2152,3,5,0,0,1,0,0,0,0,0.13,0.33,2.4,2.4,4.2,0.1,0.17,0.27,0.1,0.27,Matches
438,439,Kieran Tierney,SCO,DF,Arsenal,22,1997,5,4,297,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.5,0.02,0.16,0.19,0.02,0.19,Matches
439,440,James Tomkins,ENG,DF,Crystal Palace,30,1989,18,18,1582,1,1,0,0,5,0,0,0,0,0.06,0.11,1.3,1.3,0.1,0.08,0.01,0.08,0.08,0.08,Matches
440,441,Fikayo Tomori,ENG,DF,Chelsea,21,1997,15,15,1291,1,0,0,0,3,0,0,0,0,0.07,0.07,0.6,0.6,0.2,0.04,0.01,0.05,0.04,0.05,Matches
441,442,Lucas Torreira,URU,MF,Arsenal,23,1996,24,15,1373,1,1,0,0,4,0,0,0,0,0.07,0.13,1.6,1.6,1.1,0.1,0.07,0.17,0.1,0.17,Matches
442,443,Cenk Tosun,TUR,FW,Crystal Palace,28,1991,5,2,177,1,0,0,0,0,0,0,0,0,0.51,0.51,0.8,0.8,0,0.4,0,0.4,0.4,0.4,Matches
443,444,Cenk Tosun,TUR,FW,Everton,28,1991,5,2,291,1,0,0,0,0,0,0,0,0,0.31,0.31,0.8,0.8,0.1,0.24,0.04,0.27,0.24,0.27,Matches
444,445,Andros Townsend,ENG,MF,Crystal Palace,28,1991,15,9,797,1,1,0,0,0,0,0,0,0,0.11,0.23,0.2,0.2,1.2,0.02,0.14,0.16,0.02,0.16,Matches
445,446,Adama Traore,ESP,FWDF,Wolves,23,1996,28,22,2072,4,7,0,0,0,0,0,0,0,0.17,0.48,2.3,2.3,5.7,0.1,0.25,0.35,0.1,0.35,Matches
446,447,Mark Travers,IRL,GK,Bournemouth,20,1999,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
447,448,Trezeguet,EGY,FWMF,Aston Villa,24,1994,24,13,1326,3,1,0,0,4,1,0,0,0,0.2,0.27,2.8,2.8,0.7,0.19,0.05,0.24,0.19,0.24,Matches
448,449,Leandro Trossard,BEL,FWMF,Brighton,24,1994,23,16,1444,3,3,0,0,0,0,0,0,0,0.19,0.37,2.6,2.6,3.3,0.16,0.2,0.37,0.16,0.37,Matches
449,450,Tom Trybull,GER,MF,Norwich City,26,1993,14,12,1024,0,0,0,0,2,0,0,0,0,0,0,0.4,0.4,0,0.04,0,0.04,0.04,0.04,Matches
450,451,Axel Tuanzebe,ENG,DF,Manchester Utd,21,1997,5,2,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
451,452,Yan Valery,FRA,DF,Southampton,20,1999,9,8,645,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.7,0.04,0.1,0.14,0.04,0.14,Matches
452,453,Jesus Vallejo,ESP,DF,Wolves,22,1997,2,1,163,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
453,454,Jamie Vardy,ENG,FW,Leicester City,32,1987,26,25,2223,19,4,4,5,2,0,0,0,0,0.61,0.77,14.2,10.4,3.4,0.58,0.14,0.71,0.42,0.56,Matches
454,455,Indiana Vassilev,USA,FW,Aston Villa,18,2001,2,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
455,456,Jan Vertonghen,BEL,DF,Tottenham,32,1987,19,18,1543,1,1,0,0,2,0,0,0,0,0.06,0.12,0.4,0.4,0.9,0.03,0.05,0.08,0.03,0.08,Matches
456,457,Jannik Vestergaard,DEN,DF,Southampton,26,1992,14,13,1136,1,0,0,0,2,0,0,0,0,0.08,0.08,0.8,0.8,0.1,0.06,0.01,0.07,0.06,0.07,Matches
457,458,Ruben Vinagre,POR,DF,Wolves,20,1999,13,5,535,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.6,0.07,0.1,0.17,0.07,0.17,Matches
